Position,FullName,FirstName,LastName,RawTime,RoundedTime,Year,School,Date,Meet,
9247,Salat Ibrahim,Salat,Ibrahim,4:40.46,4:40,Jr,Northwestern Oklahoma State,"April 4, 2024",Friends University Spring Open,
9248,David Stansbury,David,Stansbury,4:40.48,4:40,So,Anderson (Ind.),"April 27, 2024",Heartland Collegiate Athletic Conference,
9249,Emmanuel Cartagena,Emmanuel,Cartagena,4:40.49,4:40,So,UA Rich Mountain (Ark.),"April 11, 2024",Carl Kight Invitational,
9250,cody Smith,cody,Smith,4:40.51,4:41,Jr,DeSales,"April 13, 2024",DeSales Track & Field Tri-Meet,
9251,Jacksen Bolduc,Jacksen,Bolduc,4:40.53,4:41,Fr,Worcester State,"April 8, 2024",Regis Spring Classic,
9252,Connor Bossong,Connor,Bossong,4:40.54,4:41,So,Purdue University Club,"March 22, 2024",Polar Bear Invitational (Indiana Wesleyan),
9253,Ethan Berning,Ethan,Berning,4:40.54,4:41,Fr,Central (Iowa),"April 6, 2024",Wartburg Outdoor Select,
9254,Robert Newsom,Robert,Newsom,4:40.56,4:41,Fr,Roanoke,"April 20, 2024",WildCat Invitational,
9255,Drew Schutte,Drew,Schutte,4:40.58,4:41,Fr,UW-River Falls,"April 27, 2024",Janis Rider / Doug Bolstorff Invitational,
9256,Ashton Yarrington,Ashton,Yarrington,4:40.59,4:41,Fr,University of Wisconsin Club,"April 13, 2024",Beloit Relays,
9257,Otto Knittel,Otto,Knittel,4:40.59,4:41,Jr,Missouri S&T,"May 2, 2024",GLVC Outdoor Championships,
9258,Jayce Corbin,Jayce,Corbin,4:40.60,4:41,Fr,Delaware Valley,"March 30, 2024",Osprey Open,
9259,Andrew Kubaska,Andrew,Kubaska,4:40.60,4:41,Fr,Emmanuel (Mass.),"April 28, 2024",GNAC Track & Field Championship,
9260,Jonathon Hammond,Jonathon,Hammond,4:40.61,4:41,Fr,Rose-Hulman,"April 19, 2024",Rose-Hulman Twilight,
9261,Lucas Mackenzie,Lucas,Mackenzie,4:40.61,4:41,So,Wheaton (Mass.),"April 27, 2024",NEWMAC,
9262,Jerry Watson,Jerry,Watson,4:40.62,4:41,So,Virginia Wesleyan,"March 16, 2024",Betty S. Rogers Spring Break Invitational,
9263,Elijah Brown,Elijah,Brown,4:40.63,4:41,Sr,Delaware State,"April 6, 2024",Delaware Invitational,
9264,Sam Hatfield,Sam,Hatfield,4:40.65,4:41,Jr,Santa Clara,"March 29, 2024",Mike Fanelli Track Classic,
9265,Matthias Lauvau,Matthias,Lauvau,4:40.67,4:41,Fr,SUNY Plattsburgh,"April 27, 2024",St Lawrence Twilight,
9266,Ty Murphy,Ty,Murphy,4:40.68,4:41,Fr,Wabash,"March 30, 2024",56th Annual Centre College Track & Field Invitational,
9267,Caden MacHenry,Caden,MacHenry,4:40.70,4:41,-,Delaware University Club,"March 2, 2024",Lloyd Sigler Spring Meet,
9268,Ryan Ciezczak,Ryan,Ciezczak,4:40.70,4:41,Fr,Carthage,"April 25, 2024",UW-W Drake Alternative,
9269,Connor Clark,Connor,Clark,4:40.70,4:41,So,Albion,"May 2, 2024",MIAA Championships,
9270,Connor Kakowski,Connor,Kakowski,4:40.71,4:41,So,Immaculata,"April 26, 2024",WCU Tune Up,
9271,Colin Muller,Colin,Muller,4:40.73,4:41,So,Queens (N.C.),"April 6, 2024",VertKlasse Meeting,
9272,Christian Cupp,Christian,Cupp,4:40.73,4:41,Fr,Duquesne,"May 5, 2024",Atlantic 10 Outdoor Championships,
9273,Jesus Flores,Jesus,Flores,4:40.75,4:41,So,Antelope Valley (Calif.),"February 23, 2024",WSC South Meet,
9274,Jared Crutcher,Jared,Crutcher,4:40.75,4:41,Sr,William Woods (Mo.),"March 30, 2024",Central Methodist Invite,
9275,John Ridilla,John,Ridilla,4:40.76,4:41,So,Washington & Jefferson,"April 26, 2024",2024 PAC T&F Championship,
9276,Daniel Kloeppner,Daniel,Kloeppner,4:40.80,4:41,Sr,"Saint John""s (Minn.)","April 6, 2024",Hamline Invitational,
9277,Josh Schaffart,Josh,Schaffart,4:40.81,4:41,Fr,State Fair (Mo.),"March 22, 2024",Missouri S&T Miner Invitational,
9278,Tucker Williamson,Tucker,Williamson,4:40.82,4:41,Fr,Eureka,"April 13, 2024",Greenville Select Meet,
9279,Bryce Coday,Bryce,Coday,4:40.83,4:41,Jr,Evangel (Mo.),"March 16, 2024",Central Methodist Open,
9280,Noah Perez,Noah,Perez,4:40.83,4:41,Fr,Ave Maria (Fla.),"April 5, 2024",Hurricane Alumni Invitational,
9281,Anthony Ferrie,Anthony,Ferrie,4:40.86,4:41,Fr,Brewton-Parker (Ga.),"April 6, 2024",Georgia Showdown,
9282,Will Saari,Will,Saari,4:40.87,4:41,Jr,Hamline,"April 6, 2024",Hamline Invitational,
9283,Cauy Garrett,Cauy,Garrett,4:40.88,4:41,Fr,Southeastern (Iowa) CC,"April 20, 2024",Meet of Champions,
9284,Blake Harris,Blake,Harris,4:40.90,4:41,So,Texas A&M,"April 5, 2024",44 Farms Team Invitational,
9285,Matthew Stoner,Matthew,Stoner,4:40.90,4:41,So,Wheaton (Ill.),"April 13, 2024",Wheaton College Invitational,
9286,Joshua Booker,Joshua,Booker,4:40.92,4:41,Fr,Mt. San Antonio,"March 15, 2024",Riverside City College Open,
9287,Griffin Boyer,Griffin,Boyer,4:40.93,4:41,Fr,Baldwin Wallace,"March 22, 2024",Amy Adams Memorial Invitational,
9288,Chris Lozano,Chris,Lozano,4:40.93,4:41,Sr,Dickinson,"March 27, 2024",York College Twilight Meet,
9289,Sam Brenner,Sam,Brenner,4:40.93,4:41,So,Gustavus Adolphus,"May 1, 2024",Maverick Open #1,
9290,Ethan Duncan,Ethan,Duncan,4:40.94,4:41,Jr,Bridgewater (Va.),"April 13, 2024",North River Meet,
9291,Caleb Shea,Caleb,Shea,4:40.96,4:41,So,Misericordia,"April 5, 2024",Misericordia Twilight,
9292,Ulysses Patterson,Ulysses,Patterson,4:40.98,4:41,Jr,Simpson (Iowa),"May 23, 2024",NCAA Division III Outdoor Track & Field Championships,
9293,Dominic Nunez,Dominic,Nunez,4:41.00,4:41,Fr,Ursinus,"April 5, 2024",Ursinus T&F Invitational,
9294,Joshua Sandoval,Joshua,Sandoval,4:41.02,4:41,Jr,St. John Fisher,"March 29, 2024",Towson Spring Invitational,
9295,Christian Wiegert,Christian,Wiegert,4:41.02,4:41,Jr,Hastings (Neb.),"April 19, 2024",Jim Dutcher Classic,
9296,Max Scott,Max,Scott,4:41.03,4:41,Sr,Juniata,"April 5, 2024",41st Millersville Metrics Sponsored by Penn Medicine LGH Sports Med,
9297,Trey Schulte,Trey,Schulte,4:41.03,4:41,Fr,Mount Mercy (Iowa),"April 6, 2024",Cornell Invitational,
9298,Dylan Whalen,Dylan,Whalen,4:41.03,4:41,Jr,Brandeis,"April 7, 2024",Amherst Spring Fling,
9299,Levi Garrett,Levi,Garrett,4:41.04,4:41,So,Huntingdon (Ala.),"March 16, 2024",Montevallo Falcon Classic,
9300,Dominic Prestipino,Dominic,Prestipino,4:41.04,4:41,Sr,Holy Family (Pa.),"March 22, 2024",Doc Jopson Track & Field Invitational,
9301,Kenny Tucker,Kenny,Tucker,4:41.04,4:41,Jr,Culver-Stockton (Mo.),"March 23, 2024",Washington University Tri,
9302,Luke Thng,Luke,Thng,4:41.05,4:41,Jr,John Brown (Ark.),"April 20, 2024",PSU Tune-Up,
9303,Amos Metto,Amos,Metto,4:41.06,4:41,Jr,Stillman (Ala.),"March 16, 2024",Montevallo Falcon Classic,
9304,Justin Owens,Justin,Owens,4:41.08,4:41,So,Emory and Henry,"April 12, 2024",Concord Open Track Invite,
9305,Michael Kulig,Michael,Kulig,4:41.08,4:41,Sr,Plymouth State,"April 20, 2024",Tufts Sunshine Classic,
9306,Jamell Sanchez,Jamell,Sanchez,4:41.09,4:41,So,Southwestern (Kan.),"May 2, 2024",Kansas Collegiate (KCAC) Outdoor Championships,
9307,Spencer DeHart,Spencer,DeHart,4:41.12,4:41,So,Wooster,"April 5, 2024",Wooster Invitational,
9308,Wes Holcomb,Wes,Holcomb,4:41.13,4:41,Fr,Concord,"April 20, 2024",WildCat Invitational,
9309,Luis Antunez,Luis,Antunez,4:41.16,4:41,Fr,Barton,"March 22, 2024",Phoenix Invitational,
9310,Adam Gizis,Adam,Gizis,4:41.16,4:41,So,George Washington University Club,"April 20, 2024",UMD Running Club Track & Field Meet,
9311,Bryce Pearson,Bryce,Pearson,4:41.18,4:41,Jr,Cal Poly Humboldt,"April 11, 2024",2024 Bryan Clay Invitational,
9312,Justin Walters,Justin,Walters,4:41.20,4:41,So,East Stroudsburg,"April 5, 2024",41st Millersville Metrics Sponsored by Penn Medicine LGH Sports Med,
9313,Brayden Weigel,Brayden,Weigel,4:41.20,4:41,So,OSU Running Club,"May 4, 2024",Linfield Open,
9314,Wyatt Frye,Wyatt,Frye,4:41.23,4:41,So,Spalding,"March 23, 2024",Mountaineer Open,
9315,Adrian Baquera,Adrian,Baquera,4:41.23,4:41,Jr,Ripon,"April 12, 2024",Marquette Invitational,
9316,Sutter Guttery,Sutter,Guttery,4:41.24,4:41,So,Citadel,"March 23, 2024",Weems Baskin Invitational,
9317,Collin Helmick,Collin,Helmick,4:41.25,4:41,Fr,Washington & Jefferson,"March 30, 2024",2024 Tim Weaver International,
9318,Gadiel Montiel,Gadiel,Montiel,4:41.26,4:41,So,Bethel (Ind.),"March 28, 2024",Marian University - Knight Open,
9319,Jaden Beske,Jaden,Beske,4:41.26,4:41,So,York (Neb.),"May 10, 2024",NCCAA Track and Field,
9320,Aiden Brien,Aiden,Brien,4:41.30,4:41,Jr,Bluffton,"April 6, 2024",Manchester Invitational,
9321,Jaylon Donson,Jaylon,Donson,4:41.33,4:41,So,Wiley (Texas),"March 16, 2024",Jim Mize Invitational,
9322,David Rosinski,David,Rosinski,4:41.33,4:41,Sr,University of Cincinnati Club,"March 30, 2024",Yellow Jacket Collegiate Outdoor Open,
9323,Lincoln Krog,Lincoln,Krog,4:41.34,4:41,Sr,Azusa Pacific,"May 23, 2024",NCAA Division II Outdoor Championships,
9324,Toby McGuire,Toby,McGuire,4:41.36,4:41,-,Ohio State University Club,"April 13, 2024",Ohio Cherry Blossom Invitational,
9325,Andre Davis,Andre,Davis,4:41.39,4:41,Jr,Franklin,"March 16, 2024",Rose Hulman Early Bird,
9326,Seth Meader,Seth,Meader,4:41.39,4:41,Sr,Transylvania,"March 23, 2024",Pioneer Invitational,
9327,Brett Glaser,Brett,Glaser,4:41.39,4:41,Sr,Black Hills State,"May 23, 2024",NCAA Division II Outdoor Championships,
9328,Brendan Smith,Brendan,Smith,4:41.41,4:41,-,Penn State University Club,"March 30, 2024",Lafayette Open,
9329,Samuel Rabaey,Samuel,Rabaey,4:41.43,4:41,Jr,"Saint John""s (Minn.)","April 20, 2024",CSB/SJU Invitational,
9330,Jacob Humphrey,Jacob,Humphrey,4:41.44,4:41,Jr,Southern Nazarene,"April 18, 2024",Ford Mastin Twilight,
9331,Kelon Martin,Kelon,Martin,4:41.44,4:41,Jr,American International,"April 20, 2024",Jack Maloney Invitational,
9332,Sebastian DeSimone,Sebastian,DeSimone,4:41.44,4:41,So,Gwynedd-Mercy,"April 20, 2024",Paul Donahue Invite,
9333,Oliver Tavira,Oliver,Tavira,4:41.45,4:41,So,Ventura (Calif.),"March 22, 2024",WSC North Meet,
9334,Demetri Lord,Demetri,Lord,4:41.45,4:41,Sr,St. Olaf,"May 2, 2024",MIAC Multi Event Championships,
9335,Louis Mazariegos,Louis,Mazariegos,4:41.47,4:41,Fr,Long Beach City (Calif.),"April 13, 2024",UCLA Legends Invitational,
9336,Kristofer Aguirre,Kristofer,Aguirre,4:41.48,4:41,Fr,Umpqua (Ore.) CC,"March 16, 2024",OSU PNW Invitational,
9337,Jonah Andrews,Jonah,Andrews,4:41.48,4:41,Fr,Pacific Lutheran,"March 23, 2024",Peyton-Shotwell Invitational 2024,
9338,Corbin Lee,Corbin,Lee,4:41.48,4:41,Sr,Indianapolis,"April 27, 2024",Sycamore Open,
9339,Michael Herr-Zielke,Michael,Herr-Zielke,4:41.51,4:42,Jr,North Central (Minn.),"May 4, 2024",UMAC Outdoor Championship,
9340,Kevin Brooks,Kevin,Brooks,4:41.51,4:42,Fr,Cloud County (Kan.) CC,"May 17, 2024",NJCAA Division 1 National Championship,
9341,Mick Barbi,Mick,Barbi,4:41.52,4:42,So,Stevens,"March 27, 2024",Oscar Moore Invite,
9342,Ryan Chong,Ryan,Chong,4:41.53,4:42,Fr,N.C. Central,"April 6, 2024",VertKlasse Meeting,
9343,Kaleb Sanford,Kaleb,Sanford,4:41.53,4:42,Sr,Lourdes (Ohio),"May 2, 2024",Wolverine-Hoosier (WHAC) Outdoor Championships,
9344,Brian Sponaugle,Brian,Sponaugle,4:41.54,4:42,So,Valparaiso,"May 11, 2024",MVC Outdoor Championships,
9345,Keshawn Maxwell,Keshawn,Maxwell,4:41.55,4:42,Sr,Piedmont,"April 12, 2024",Berry Field Day Invitatinal,
9346,Santiago Benbow,Santiago,Benbow,4:41.56,4:42,Fr,Amherst,"April 12, 2024",Carla Coffey Classic,
9347,Matthew Rogozinski,Matthew,Rogozinski,4:41.56,4:42,Fr,Saint Rose,"April 26, 2024",RPI Capital District Classic,
9348,Jake Justeson,Jake,Justeson,4:41.58,4:42,-,University of Pittsburgh Club,"March 22, 2024",Stan Romanoski Open,
9349,Mason Everts,Mason,Everts,4:41.59,4:42,Fr,Concordia Wisconsin,"April 13, 2024",Beloit Relays,
9350,Sean Murphy,Sean,Murphy,4:41.59,4:42,Sr,Virginia Tech,"June 8, 2024",NCAA Division I Outdoor Championships,
9351,Juan Uribe,Juan,Uribe,4:41.60,4:42,Jr,Hardin-Simmons,"March 16, 2024",Wes Kittley Invitational,
9352,Garrett Jacunski,Garrett,Jacunski,4:41.63,4:42,So,Denison,"April 20, 2024",Kenyon Spring Invitational,
9353,Gavin Smith,Gavin,Smith,4:41.66,4:42,So,Central (Iowa),"May 23, 2024",NCAA Division III Outdoor Track & Field Championships,
9354,William Craig,William,Craig,4:41.67,4:42,Jr,Union (Tenn.),"March 22, 2024",Margaret Simmons Invitational,
9355,Benjamin Ehrenberg,Benjamin,Ehrenberg,4:41.70,4:42,Fr,Concordia (Neb.),"April 13, 2024",South Dakota Challenge,
9356,Javier Machado,Javier,Machado,4:41.71,4:42,Fr,Dominican (Calif.),"March 2, 2024",Kim Dyust Invitational,
9357,Gabe Thyne,Gabe,Thyne,4:41.73,4:42,Jr,Rochester (N.Y.),"May 15, 2024",AARTFC DIII Outdoor,
9358,Kyle Juliano,Kyle,Juliano,4:41.75,4:42,Fr,Lynn,"April 12, 2024",Keiser Twilight Invitational,
9359,Zach McCaslin,Zach,McCaslin,4:41.77,4:42,Fr,Lindsey Wilson (Ky.),"March 22, 2024",EKU Spring Invitational,
9360,Omari Sewell,Omari,Sewell,4:41.79,4:42,Fr,Monroe-New Rochelle (N.Y.),"April 26, 2024",TCNJ Lions Invite,
9361,Bradley Barbosa,Bradley,Barbosa,4:41.81,4:42,Fr,El Camino (Calif.),"February 16, 2024",2024 Cuyamaca College,
9362,Jayden Dunlap,Jayden,Dunlap,4:41.83,4:42,Fr,Rio Grande (Ohio),"April 13, 2024",Ohio Cherry Blossom Invitational,
9363,Jarrod Ledvina,Jarrod,Ledvina,4:41.84,4:42,Jr,Westfield State,"March 30, 2024",Corsair Invitational,
9364,Logan Menke,Logan,Menke,4:41.86,4:42,So,Doane (Neb.),"March 30, 2024",Central Nebraska Challenge,
9365,Kamon Haydock,Kamon,Haydock,4:41.86,4:42,Jr,Emporia State,"April 6, 2024",16th Annual David Suenram Gorilla Classic,
9366,Sam Morris,Sam,Morris,4:41.86,4:42,Sr,"Saint Mary""s (Minn.)","April 13, 2024",SMU Cardinal Invitational,
9367,Jake Arnold,Jake,Arnold,4:41.86,4:42,Sr,Randolph,"April 20, 2024",WildCat Invitational,
9368,Crioni Menendez,Crioni,Menendez,4:41.86,4:42,Fr,Bethel (Minn.),"May 3, 2024",Meet of the UnSaintly,
9369,James Frye,James,Frye,4:41.87,4:42,Fr,Saint Mary-of-the-Woods (Ind.),"April 20, 2024",Gibson Invitational,
9370,Theo Hordon,Theo,Hordon,4:41.88,4:42,Fr,Kenyon,"April 26, 2024",Big Red Invitational,
9371,Bonfils Matenga,Bonfils,Matenga,4:41.89,4:42,Fr,Aquinas (Mich.),"April 5, 2024",GVSU Early Meet,
9372,Isaiah Ferebee,Isaiah,Ferebee,4:41.91,4:42,Fr,"St. Mary""s (Md.)","March 23, 2024",Purple and Gold Invitational,
9373,Theo McGreevey,Theo,McGreevey,4:41.91,4:42,Fr,Swarthmore,"March 30, 2024",Danny Curran Invite,
9374,Diego Villegas,Diego,Villegas,4:41.93,4:42,So,Hartnell,"March 21, 2024",Pat Ryan Invitational,
9375,Brackin Awender,Brackin,Awender,4:41.93,4:42,So,Valley City State (N.D.),"March 30, 2024",Al Bortke Open,
9376,Tyler Smith,Tyler,Smith,4:41.93,4:42,Fr,UW-Superior,"May 10, 2024",UW-La Crosse Eagle Open,
9377,Jeramiah Havens,Jeramiah,Havens,4:41.94,4:42,Fr,UC Santa Barbara,"April 11, 2024",2024 Bryan Clay Invitational,
9378,Carson Jones,Carson,Jones,4:41.94,4:42,Fr,Sauk Valley (Ill.) CC,"April 20, 2024",Meet of Champions,
9379,James Lyons,James,Lyons,4:41.96,4:42,Fr,Colorado College,"March 30, 2024",Chuck Haering Classic,
9380,Ethan Turner,Ethan,Turner,4:41.98,4:42,Fr,Sage Colleges,"March 30, 2024",Hamilton College Continental Invitational,
9381,Matthew Andersen,Matthew,Andersen,4:41.99,4:42,So,Ithaca,"April 13, 2024",Cortland Upstate Alternative,
9382,Ethan Friedman,Ethan,Friedman,4:41.99,4:42,Fr,Lynn,"April 19, 2024",STU Open 3,
9383,Carson Engbers,Carson,Engbers,4:42.03,4:42,Fr,Northwestern (Iowa),"March 28, 2024",Wayne State Invite,
9384,Bert Cortez,Bert,Cortez,4:42.06,4:42,Jr,Wartburg,"April 6, 2024",Wartburg Outdoor Select,
9385,Clark Wilson,Clark,Wilson,4:42.08,4:42,Jr,Marietta,"March 30, 2024",Don Frail Invitational,
9386,Matt Dietrich,Matt,Dietrich,4:42.08,4:42,Fr,Simpson (Iowa),"May 3, 2024",Wartburg May Tri,
9387,Edgar Gutierrez,Edgar,Gutierrez,4:42.10,4:42,So,Fullerton College,"April 12, 2024",Cerritos Invitational,
9388,Carson Hill,Carson,Hill,4:42.12,4:42,Fr,Kansas City,"April 6, 2024",Arkansas Spring Invitational,
9389,Max Baril,Max,Baril,4:42.13,4:42,Fr,Diablo Valley (Calif.),"February 23, 2024",Chabot Opener,
9390,Daniel Foladare,Daniel,Foladare,4:42.13,4:42,Fr,Mt. San Antonio,"March 15, 2024",Riverside City College Open,
9391,Evan Porter,Evan,Porter,4:42.13,4:42,Fr,Clark (Wash.),"April 13, 2024",L&C Larry Byerly Invite,
9392,Laertes Cushing,Laertes,Cushing,4:42.13,4:42,Jr,Daemen,"May 2, 2024",East Coast Outdoor Championships,
9393,Aiden McCracken,Aiden,McCracken,4:42.14,4:42,Fr,Crowder (Mo.),"March 22, 2024",Missouri S&T Miner Invitational,
9394,Ahmad Samuels,Ahmad,Samuels,4:42.15,4:42,Fr,Essex County (N.J.),"April 6, 2024",Metropolitan Championships,
9395,Luke Sellmann,Luke,Sellmann,4:42.16,4:42,Jr,Lewis-Clark State (Idaho),"April 13, 2024",NNU Open,
9396,Jose Lopez,Jose,Lopez,4:42.16,4:42,So,Morningside (Iowa),"April 13, 2024",Sioux City Relays,
9397,Ricky Diaz,Ricky,Diaz,4:42.17,4:42,Sr,Eastern New Mexico,"March 30, 2024",Greyhound Open,
9398,Evan Davis,Evan,Davis,4:42.18,4:42,Sr,Roberts Wesleyan,"March 30, 2024",Geneseo Early Season Invitational,
9399,Logan Gault,Logan,Gault,4:42.19,4:42,Fr,Trine,"April 13, 2024",Indiana DIII Championships,
9400,Mike Hudson,Mike,Hudson,4:42.19,4:42,Jr,Augustana (Ill.),"April 20, 2024",Meet of Champions,
9401,Isaiah Blount,Isaiah,Blount,4:42.19,4:42,Jr,VMI,"May 7, 2024",SoCon Outdoor Championships,
9402,Ethan Darlington,Ethan,Darlington,4:42.21,4:42,Fr,Alvernia,"April 5, 2024",41st Millersville Metrics Sponsored by Penn Medicine LGH Sports Med,
9403,Timothy Connell,Timothy,Connell,4:42.21,4:42,Jr,Neumann,"May 4, 2024",Atlantic East Champs,
9404,Tyler Ching,Tyler,Ching,4:42.22,4:42,So,Grinnell,"March 23, 2024",PLNU Collegiate Invitational,
9405,Michael Kitchen,Michael,Kitchen,4:42.23,4:42,So,Mobile (Ala.),"April 23, 2024",SSAC 2024,
9406,Leo Lomangino,Leo,Lomangino,4:42.24,4:42,Fr,RPI,"May 3, 2024",Liberty League Outdoor Championships,
9407,Austin Tegeler,Austin,Tegeler,4:42.25,4:42,Jr,Columbia (Mo.),"April 21, 2024",Dewey Allgood,
9408,Nicholas Walz,Nicholas,Walz,4:42.26,4:42,Sr,Dallas,"March 9, 2024",UTA Invitational,
9409,Brock Godinez,Brock,Godinez,4:42.27,4:42,Fr,Neosho County (Kan.) CC,"March 23, 2024",Mark Phillips Tiger Open,
9410,Connor Krucek,Connor,Krucek,4:42.27,4:42,Sr,Wooster,"April 20, 2024",Kenyon Spring Invitational,
9411,Kyle Mancini,Kyle,Mancini,4:42.29,4:42,So,Merchant Marine Academy,"March 24, 2024",2024 QCC Relays,
9412,Noah Bredehoeft,Noah,Bredehoeft,4:42.31,4:42,Fr,Columbia (Mo.),"March 22, 2024",Missouri S&T Miner Invitational,
9413,Daniel Risberg,Daniel,Risberg,4:42.31,4:42,So,LeTourneau,"April 5, 2024",McNeese Spring Time Classic,
9414,Matthew Milliken,Matthew,Milliken,4:42.36,4:42,Fr,Virginia Tech Club,"April 20, 2024",WildCat Invitational,
9415,Xavier Hernandez,Xavier,Hernandez,4:42.36,4:42,So,Roberts Wesleyan,"May 2, 2024",East Coast Outdoor Championships,
9416,Nicholas Rodden,Nicholas,Rodden,4:42.37,4:42,Fr,Bridgewater State,"April 20, 2024",Tufts Sunshine Classic,
9417,Trent Allen,Trent,Allen,4:42.38,4:42,Fr,Coe,"April 6, 2024",Cornell Invitational,
9418,Charles Cuttino,Charles,Cuttino,4:42.38,4:42,So,Wooster,"April 20, 2024",Kenyon Spring Invitational,
9419,Emilson Zocolo,Emilson,Zocolo,4:42.40,4:42,Fr,"Saint Joseph""s (Maine)","April 12, 2024",Monks Track andand Field Invitational,
9420,Henry Schneiderman,Henry,Schneiderman,4:42.40,4:42,So,Wooster,"April 26, 2024",Big Red Invitational,
9421,Matthew Miller,Matthew,Miller,4:42.45,4:42,Fr,WVU Tech,"March 30, 2024",Don Frail Invitational,
9422,Eli Moon,Eli,Moon,4:42.45,4:42,Fr,Campbellsville (Ky.),"April 27, 2024",UL Clark Wood Inv TF 2024,
9423,Kyle Levangie,Kyle,Levangie,4:42.46,4:42,Fr,"Saint Michael""s","April 20, 2024",Middlebury College TF Outdoor Meet,
9424,Liam Random,Liam,Random,4:42.47,4:42,Fr,Reinhardt (Ga.),"April 12, 2024",Berry Field Day Invitatinal,
9425,Justin King,Justin,King,4:42.48,4:42,Jr,Brevard (N.C.),"March 2, 2024",Susan Rouse Invte,
9426,Adam Jaros,Adam,Jaros,4:42.49,4:42,Fr,Columbia,"May 4, 2024",Ivy League Heptagonal Championships,
9427,Thomas Monier,Thomas,Monier,4:42.51,4:43,Jr,Spring Hill (Ala.),"March 2, 2024",MC Spring Cleaning,
9428,Matthew Shank,Matthew,Shank,4:42.53,4:43,Sr,Waynesburg,"April 6, 2024",Dave Labor Slippery Rock Invitational,
9429,Jack Rodgers,Jack,Rodgers,4:42.53,4:43,So,Birmingham-Southern,"April 26, 2024",SAA Outdoor Championships,
9430,Yash Malik,Yash,Malik,4:42.57,4:43,Fr,Florida Tech,"March 15, 2024",Bob Hayes Collegiate Invitational,
9431,Derek Munroe,Derek,Munroe,4:42.59,4:43,So,UMass Lowell,"May 5, 2024",America East Outdoor Track & Field Championships,
9432,Stephen Pittman,Stephen,Pittman,4:42.64,4:43,Fr,Spokane (Wash.) CC,"April 30, 2024",NWAC Multi-Event Championships,
9433,Eli DeBrock,Eli,DeBrock,4:42.64,4:43,So,Monmouth (Ill.),"May 10, 2024",MWC Outdoor Championship,
9434,Adem Ozkurt,Adem,Ozkurt,4:42.70,4:43,So,Pace,"April 13, 2024",TCNJ Invitational,
9435,Louis Sader,Louis,Sader,4:42.70,4:43,Jr,Roger Williams,"April 19, 2024",Sean Collier Invitational,
9436,Alex Reese,Alex,Reese,4:42.70,4:43,-,Penn State University Club,"April 27, 2024",Paul Kaiser Classic,
9437,Sean Simonini,Sean,Simonini,4:42.72,4:43,-,Delaware University Club,"March 2, 2024",Lloyd Sigler Spring Meet,
9438,Ryan Melendez,Ryan,Melendez,4:42.74,4:43,Fr,Loyola (Md.),"April 12, 2024",Stevenson Invitational,
9439,Jacob Goude,Jacob,Goude,4:42.74,4:43,Fr,Spokane (Wash.) CC,"April 30, 2024",NWAC Multi-Event Championships,
9440,Mason Schleis,Mason,Schleis,4:42.74,4:43,Sr,Mount Marty (S.D.),"May 22, 2024",NAIA Outdoor Championships,
9441,Evan Starkweather,Evan,Starkweather,4:42.76,4:43,Jr,Tiffin,"March 30, 2024",Tiffelberg Open,
9442,Jacob Thomas,Jacob,Thomas,4:42.77,4:43,So,Wentworth (Mass.),"April 6, 2024",Jonathan Tymann Invitational,
9443,Blake Rodriguez,Blake,Rodriguez,4:42.77,4:43,Sr,Vanguard (Calif.),"April 24, 2024",Golden State (GSAC) Outdoor Championships,
9444,Jack Barkley,Jack,Barkley,4:42.82,4:43,Fr,Green River (Wash.) CC,"March 2, 2024",Ed Boitano Invitational,
9445,Kaleb Everson,Kaleb,Everson,4:42.82,4:43,Fr,Evergreen State (Wash.),"April 13, 2024",L&C Larry Byerly Invite,
9446,Luke Olson,Luke,Olson,4:42.83,4:43,Jr,South Dakota,"April 5, 2024",USD Early Bird,
9447,Patrick Stiltner,Patrick,Stiltner,4:42.83,4:43,Sr,Transylvania,"April 12, 2024",Centre College Track & Field Twilight ,
9448,Micah Paquin,Micah,Paquin,4:42.84,4:43,Fr,Lenoir-Rhyne,"April 13, 2024",Southside Power andand Fitness Invitational,
9449,Ryan Mattimore,Ryan,Mattimore,4:42.84,4:43,Fr,Georgetown University Club,"April 20, 2024",UMD Running Club Track & Field Meet,
9450,John Wills,John,Wills,4:42.84,4:43,-,University of Cincinnati Club,"April 27, 2024",RedHawk Invitational (Miami (Ohio)),
9451,Charlie Moore,Charlie,Moore,4:42.85,4:43,Sr,St. Thomas Aquinas,"March 30, 2024",Ramapo College Invitational,
9452,Penn Smith,Penn,Smith,4:42.87,4:43,So,Lebanon Valley,"March 27, 2024",York College Twilight Meet,
9453,Joe Brandel,Joe,Brandel,4:42.87,4:43,Fr,Centre,"April 12, 2024",Centre College Track & Field Twilight ,
9454,Elijah Dixon,Elijah,Dixon,4:42.87,4:43,So,Canyons (Calif.),"April 12, 2024",Cerritos Invitational,
9455,Dominic Veri,Dominic,Veri,4:42.89,4:43,So,Howard (Md.) CC,"March 30, 2024",Seahawk Invite,
9456,Brian Fennelly,Brian,Fennelly,4:42.89,4:43,Jr,Holy Cross,"May 11, 2024",NEICAAA Outdoor Championship,
9457,Cody Canterberry,Cody,Canterberry,4:42.90,4:43,So,Allen (Kan.) CC,"March 23, 2024",Mark Phillips Tiger Open,
